,0
0,yes
1,yes
2,no
3,yes
4,no
5,no
6,no
7,no
8,no
9,Yes
10,yes
11,yes
12,Yes
13,yes
14,Yes
15,yes
16,Yes
17,Yes
18,Yes
19,yes
20,Yes
21,yes
22,Yes
23,Yes
24,Yes
25,(ii)
26,no
27,(ii)
28,no
29,Yes
30,no
31,no
32,no
33,no
34,yes
35,yes
36,Yes
37,yes
38,yes
39,yes
40,yes
41,(ii)
42,yes
43,Yes
44,Yes
45,yes
46,yes
47,yes
48,yes
49,yes
50,yes
51,yes
52,yes
53,yes
54,yes
55,yes
56,yes
57,no
58,(ii)
59,yes
60,yes
61,Yes
62,yes
63,Yes
64,yes
65,yes
66,yes
67,yes
68,Yes
69,no
70,no
71,yes
72,Yes
73,yes
74,yes
75,yes
76,(ii)
77,Yes
78,yes
79,no
80,yes
81,no
82,yes
83,yes
84,no
85,the defence counsel still challenge the content of the video footage
86,no
87,no
88,yes
89,no
90,No
91,no
92,no
93,yes
94,yes
95,no
96,This transcript of a witness interview in court: such question should be avoided
97,yes
98,yes
99,yes
100,yes
101,Yes
102,Yes
103,yes
104,yes
105,yes
106,yes
107,yes
108,yes
109,no
110,yes
111,No
112,yes
113,no
114,yes
115,yes
116,Yes
117,yes
118,yes
119,yes
120,yes
121,no
122,yes
123,no
124,yes
125,yes
126,Yes
127,yes
128,yes
129,yes
130,Yes
131,Yes
132,yes
133,yes
134,Yes
135,yes
136,yes
137,yes
138,Yes
139,Yes
140,yes
141,yes
142,Yes
143,yes
144,yes
145,yes
146,Yes
147,yes
148,yes
149,yes
150,yes
151,yes
152,yes
153,yes
154,no
155,yes
156,yes
157,Yes
158,no
159,yes
160,yes
161,yes
162,yes
163,yes
164,yes
165,Yes
166,yes
167,yes
168,no
169,Yes
170,yes
171,no
172,yes
173,Yes
174,yes
175,yes
176,Yes
177,yes
178,yes
179,(ii)
180,yes
181,yes
182,yes
183,yes
184,yes
185,no
186,yes
187,yes
188,yes
189,yes
190,yes
191,yes
192,yes
193,Yes
194,yes
195,no
196,yes
197,yes
198,yes
199,yes
200,yes
201,yes
202,yes
203,no
204,no
205,yes
206,yes
207,yes
208,Yes
209,yes
210,no
211,no
212,yes
213,yes
214,yes
215,yes
216,no
217,no
218,yes
219,yes
220,yes
221,yes
222,yes
223,yes
224,yes
225,yes
226,yes
227,yes
228,yes
229,yes
230,Yes
231,yes
232,yes
233,no
234,Yes
235,yes
236,yes
237,yes
238,no
239,yes
240,yes
241,yes
242,no
243,yes
244,yes
245,yes
246,yes
247,yes
248,yes
249,Yes
250,yes
251,yes
252,yes
253,yes
254,yes
255,yes
256,yes
257,yes
258,yes
259,yes
260,yes
261,yes
262,no
263,yes
264,yes
265,yes
266,Yes
267,yes
268,yes
269,yes
270,yes
271,yes
272,yes
273,yes
274,yes
275,yes
276,yes
277,yes
278,Yes
279,yes
280,yes
281,yes
282,no
283,no
284,yes
285,yes
286,no
287,yes
288,yes
289,yes
290,yes
291,yes
292,yes
293,yes
294,yes
295,yes
296,yes
297,yes
298,yes
299,no
300,no
301,yes
302,yes
303,yes
304,yes
305,yes
306,yes
307,no
308,yes
309,yes
310,Yes
311,Yes
312,No
313,no
314,Yes
315,no
316,no
317,yes
318,yes
319,yes
320,yes
321,no
322,yes
323,yes
324,yes
325,yes
326,yes
327,yes
328,yes
329,yes
330,Yes
331,yes
332,yes
333,no
334,yes
335,yes
336,yes
337,yes
338,yes
339,no
340,yes
341,Yes
342,Yes
343,Yes
344,Yes
345,yes
346,Yes
347,yes
348,no
349,no
350,no
351,no
352,no
353,no
354,no
355,no
356,no
357,no
358,no
359,yes
360,no
361,Yes
362,no
363,no
364,Yes
365,No
366,no
367,no
368,no
369,no
370,yes
371,yes
372,Is the transcript of the witness inteview violent?
373,no
374,no
375,no
376,no
377,Yes
378,Yes
379,yes
380,yes
381,yes
382,no
383,no
384,no
385,no
386,Yes
387,yes
388,yes
389,yes
390,Yes
391,no
392,no
393,yes
394,no
395,yes
396,yes
397,yes
398,yes
399,yes
400,yes
401,no
402,no
403,yes
404,Yes
405,no
406,no
407,no
408,no
409,No
410,Yes
411,no
412,yes
413,no
414,yes
415,yes
416,no
417,no
418,no
419,yes
420,no
421,No
422,No
423,Yes
424,no
425,no
426,No
427,no
428,no
429,no
430,no
431,no
432,yes
433,No
434,no
435,no
436,No
437,no
438,no
439,yes
440,yes
441,no
442,yes
443,No
444,Yes
445,yes
446,yes
447,Yes
448,Yes
449,no
450,No
451,no
452,Yes
453,Yes
454,Yes
455,yes
456,yes
457,Yes
458,yes
459,yes
460,yes
461,Yes
462,Yes
463,no
464,yes
465,Yes
466,yes
467,no
468,Yes
469,Yes
470,Yes
471,Yes
472,yes
473,No
474,yes
475,no
476,yes
477,yes
478,Yes
479,yes
480,Yes
481,yes
482,yes
483,Yes
484,No
485,Yes
486,yes
487,yes
488,yes
489,yes
490,yes
491,Yes
492,yes
493,yes
494,no
495,yes
496,yes
497,Yes
498,yes
499,yes
500,yes
501,yes
502,yes
503,yes
504,yes
505,yes
506,yes
507,yes
508,no
509,yes
510,no
511,yes
512,yes
513,yes
514,no
515,No
516,Yes
517,yes
518,no
519,no
520,Yes
521,No
522,yes
523,no
524,no
525,no
526,no
527,yes
528,Yes
529,yes
530,Yes
531,Yes
532,Yes
533,Yes
534,Yes
535,Yes
536,Yes
537,Yes
538,yes
539,yes
540,Yes
541,Yes
542,yes
543,Yes
544,yes
545,Yes
546,yes
547,Yes
548,Yes
549,yes
550,yes
551,yes
552,yes
553,Yes
554,Yes
555,yes
556,Yes
557,yes
558,Yes
559,No
560,no
561,Yes
562,no
563,Yes
564,Yes
565,Yes
566,Yes
567,Yes
568,Yes
569,Yes
570,Yes
571,Yes
572,Yes
573,No
574,Yes
575,Yes
576,Yes
577,Yes
578,Yes
579,yes
580,yes
581,Yes
582,yes
583,Yes
584,Yes
585,yes
586,Yes
587,Yes
588,Yes
589,Yes
590,yes
591,Yes
592,Yes
593,yes
594,Yes
595,no
596,yes
597,Yes
598,no
599,Yes
600,Yes
601,Yes
602,Yes
603,No
604,no
605,Yes
606,Yes
607,Yes
608,Yes
609,Yes
610,Yes
611,Yes
612,yes
613,not
614,yes
615,yes
616,Yes
617,Yes
618,Yes
619,yes
620,yes
621,Yes
622,Yes
623,yes
624,Yes
625,yes
626,yes
627,yes
628,Yes
629,Yes
630,Yes
631,no
632,No
633,yes
634,yes
635,yes
636,Yes
637,yes
638,Yes
639,no
640,yes
641,Yes
642,No
643,no
644,Yes
645,Yes
646,No
647,Yes
648,yes
649,Yes
650,A No
651,yes
652,no
653,no
654,Yes
655,Yes
656,Yes
657,Yes
658,Yes
659,Yes
660,yes
661,Yes
662,A No
663,Yes
664,Yes
665,yes
666,No
667,Yes
668,Yes
669,yes
670,Yes
671,Yes
672,Yes
673,yes
674,Yes
675,Yes
676,Yes
677,Yes
678,Yes
679,No
680,no
681,no
682,no
683,No
684,yes
685,Yes
686,yes
687,Yes
688,Yes
689,A Yes
690,Yes
691,Yes
692,Yes
693,Yes
694,Yes
695,Yes
696,No
697,yes
698,Yes
699,No
700,Yes
701,Yes
702,Yes
703,yes
704,Yes
705,Yes
706,Yes
707,Yes
708,Yes
709,Yes
710,Yes
711,yes
712,yes
