,0
0,No
1,No
2,No
3,No
4,No
5,No
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,No
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,No
21,Yes
22,Yes
23,No
24,Yes
25,No
26,No
27,No
28,Angkar
29,Yes
30,No
31,A Yes
32,A: Yes
33,Yes
34,A Mr President the dead bodies would be left on the floor
35,Yes
36,No
37,No
38,A Mr President
39,Yes
40,No
41,No
42,No
43,Yes
44,Yes
45,Yes
46,survived
47,Yes
48,no
49,Yes
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,Yes
56,Yes
57,No
58,No
59,No
60,Yes
61,No
62,Yes
63,No
64,A Your Honour
65,Yes
66,Yes
67,No
68,Yes
69,No
70,No
71,Yes
72,Yes
73,Yes
74,"Mr. President, I would like to ask you a few questions."
75,Yes
76,No
77,No
78,No
79,No
80,No
81,No
82,No
83,Yes
84,No
85,No
86,No
87,No
88,Yes
89,No
90,No
91,Yes
92,No
93,Yes
94,Yes
95,No
96,Thank you very much
97,Yes
98,Yes
99,Yes
100,Yes
101,Mr Bou Meng and you answered this morning to Judge Lavergne concerning what had happened with
102,No
103,Yes
104,No
105,Mr Lawyer I did not witness personally the dead bodies
106,No
107,Yes
108,No
109,No
110,No
111,are not allowed to ask personal questions
112,Yes
113,No
114,No
115,Yes
116,A I am involved with the facts because the accused alleged that I was part of a
117,Yes
118,No
119,Yes
120,No
121,No
122,No
123,No
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,No
136,Yes
137,No
138,Yes
139,No
140,A: Yes
141,Yes
142,A Mr President
143,MR PRESIDENT
144,A Yes
145,Yes
146,A Yes
147,No
148,Yes
149,A No
150,A
151,Yes
152,A: I was not a human being I was an animal
153,Yes
154,No
155,Yes
156,Yes
157,Yes
158,No
159,Yes
160,A Your Honour yes
161,Yes
162,No
163,No
164,Yes
165,Yes
166,Yes
167,No
168,No
169,Yes
170,Yes
171,No
172,Yes
173,a police station
174,Yes
175,A No
176,Is there any other question I can ask you
177,Yes
178,Yes
179,No
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,No
186,Yes
187,A Yes
188,I do not
189,Yes
190,Yes
191,No
192,Yes
193,A: Yes
194,Yes
195,No
196,No
197,Yes
198,Choeung Ek
199,No
200,Yes
201,Yes
202,Yes
203,No
204,No
205,No
206,Yes
207,Mr President
208,No
209,Yes
210,A No
211,is to the west
212,No
213,No
214,No
215,No
216,No
217,No
218,No
219,Yes
220,No
221,Yes
222,Yes
223,Yes
224,Yes
225,Yes
226,No
227,Yes
228,Yes
229,Yes
230,Yes
231,Yes
232,Yes
233,No
234,No
235,Yes
236,Yes
237,Yes
238,No
239,Yes
240,Yes
241,Yes
242,No
243,Yes
244,A Yes
245,No
246,Yes
247,Yes
248,Yes
249,Yes
250,I was told that they were not interested in my questions
251,Yes
252,No
253,No
254,No
255,Yes
256,No
257,No
258,re-assignment of the questioner to another question is appropriate.
259,Yes
260,A: Yes
261,No
262,No
263,Yes
264,No
265,No
266,Soeun Sovandy
267,Yes
268,Yes
269,Yes
270,Yes
271,Yes
272,Yes
273,Yes
274,Yes
275,Yes
276,Yes
277,Yes
278,What is the name of the Chamber and Mr Nuon Chea
279,No
280,Mr Sam Sokong
281,President
282,Yes
283,No
284,Yes
285,No
286,No
287,No
288,No
289,Yes
290,No
291,A I was forced to flee from my village because I was a Khmer Rouge prison
292,Yes
293,Yes
294,Yes
295,No
296,Yes
297,No
298,No
299,A: No
300,No
301,Yes
302,No
303,Yes
304,Yes
305,Yes
306,No
307,No
308,No
309,question is not about the crimes alleged to have been committed during the period of the Democratic Kam
310,Yes
311,Yes
312,No
313,No
314,No
315,No
316,No
317,Yes
318,Yes
319,Yes
320,Yes
321,No
322,No
323,No
324,Yes
325,No
326,No
327,No
328,Yes
329,No
330,No
331,No
332,No
333,I was given freedom to live as a human being
334,Yes
335,No
336,No
337,No
338,No
339,No
340,No
341,No
342,Do you know if there were any clashes between those militiamen and members of the
343,Yes
344,Yes
345,English
346,No
347,ERN
348,No
349,No
350,No
351,the final transcript.
352,No
353,No
354,A
355,No
356,No
357,No
358,No
359,A Yes
360,No
361,have a document from the th of October
362,No
363,No
364,Is this the first time you have mentioned Khieu Samphan?
365,I was asked what kind of thing he spoke at the time when he was distributing
366,No
367,does not deem it necessary to provide this information
368,transcripts.
369,No
370,No
371,No
372,What is the name of the person who is a witness?
373,No
374,No
375,ECCCTC
376,Yes
377,No
378,No
379,I saw that
380,Yes
381,"Mr President, I would like to ask you a few questions."
382,No
383,A Yes
384,Yes
385,No
386,Yes
387,Yes
388,Yes
389,No
390,No
391,No
392,Yes
393,No
394,No
395,No
396,Yes
397,No
398,Yes
399,Yes
400,No
401,No
402,No
403,Yes
404,No
405,A
406,Yes
407,No
408,No
409,No
410,No
411,No
412,No
413,No
414,No
415,No
416,No
417,No
418,No
419,PRESIDENT
420,Yes
421,Yeay Kirou was a member of the Khmer Rouge
422,No
423,MR PRESIDENT
424,Yes
425,No
426,Kadeu
427,No
428,No
429,No
430,No
431,No
432,No
433,No
434,Yes
435,Yes
436,No
437,No
438,No
439,No
440,No
441,A Yes
442,A
443,Dul Dul
444,No
445,A Yes
446,The East Zone Cham Rebellion
447,Yes
448,Yes
449,Yes
450,A Yes
451,No
452,No
453,Yes
454,A
455,No
456,Yes
457,Pol Pot was a dictator
458,Yes
459,No
460,Yes
461,A Yes
462,Yes
463,No
464,No
465,No
466,No
467,A I worked on the control and the maintenance of this equipment in the territory of the municipality of
468,A town of Brcko
469,A Yes I think it was a victory for the SDP
470,A: Yes
471,areas
472,Yes
473,A: No
474,No
475,No
476,No
477,No
478,A The access leading to Serb villages in the area of the Brcko municipality there were
479,Yes
480,A I think about a month before the conflict started in my town
481,No
482,No
483,Yes
484,did not explain anything about what might happen if their demand was not met
485,Yes
486,No
487,The war broke out in Brcko on rd May This was a real clash
488,Yes
489,No
490,Yes
491,Brcko
492,No
493,Yes
494,No
495,Kosta
496,Yes
497,A Yes
498,Yes
499,No
500,Yes
501,A: Yes
502,Ivan asked me to come near him
503,Yes
504,Yes
505,Yes
506,Yes
507,A Yes
508,No
509,No
510,No
511,Yes
512,A I stayed there for a few days
513,JNA
514,No
515,No
516,Yes
517,No
518,No
519,TO
520,Yes
521,I did
522,No
523,No
524,A Yes
525,Yes
526,No
527,Light infantry
528,A Brcko is about a 45 minute drive
529,A I am of Bosnian ethnicity
530,A Yes
531,A artillery
532,A The th Brigade
533,A The war began in June 1939
534,No
535,A The Territorial Defence
536,A Yes
537,A Yes
538,No
539,No
540,The Brigade had only that kind of canons
541,A No
542,No
543,A Active duty
544,A Yes
545,no
546,A Yes
547,A Yes
548,No
549,Yes
550,No
551,Bijeljina
552,Detention centre
553,Yes
554,Yes
555,Brezovo Polje
556,No
557,A
558,Yes
559,No
560,No
561,No
562,Yes
563,A It is a municipality
564,A: the establishment of political parties in your area of Vlasenica
565,A: Yes
566,Yes
567,Yes
568,A large envelope
569,was created
570,","
571,Yes
572,A Bijelo Polje is in Montenegro
573,A Yes
574,Yes
575,A Yes
576,Yes
577,th
578,Yes
579,Yes
580,Yes
581,What was the name of the tractor
582,Yes
583,Yes
584,Susica camp
585,A They were detained in a camp
586,A Yes
587,A Yes
588,A No
589,No
590,I was held at Batkovic I was beaten up
591,Yes
592,hats
593,Mijacia
594,Saturday
595,No
596,A No
597,A: Who is the judge?
598,No
599,A: The federal SUP had special units for protection against sabotage and subversion activities
600,No
601,A Serb
602,Yes
603,A No
604,The police
605,Yes
606,Yes
607,A Yes
608,Yes
609,A May
610,Drago Meakic was a friend of Drago Prcac
611,was taken to the police station
612,Yes
613,Yes
614,Yes
615,for a while
616,No
617,I think it was a minor by the look of him I do not know his name
618,Yes
619,No
620,Yes
621,Yes
622,I was hit I was hit
623,Yes
624,A: Yes
625,Yes
626,hair grows
627,Yes
628,Yes
629,No
630,Yes
631,A No
632,A No
633,No
634,Yes
635,Yes
636,A Yes I did
637,Yes
638,A No
639,No
640,IT
641,Yes
642,A
643,No
644,Tadic
645,Yes
646,A No
647,A Yes
648,No
649,Yes
650,A: Yes
651,No
652,No
653,No
654,No
655,A Yes
656,A Serbs
657,May until nd June did you see any sections of the city damaged or destroyed
658,No
659,A Yes
660,Yes
661,Yes
662,A Yes
663,A
664,Yes
665,Yes
666,A No
667,A Yes
668,A Yes
669,A: No
670,A B
671,Yes
672,A Yes
673,A Yes
674,Yes
675,No
676,A: No
677,Yes
678,A No
679,Yes
